"","Index","Type.1","Type.2","Total","HP","Attack","Defense","SP..Atk.","SP..Def","Speed","NormHP","NormAttack","NormDefense","Performance","Grade"
"Landorus Therian Forme",645,"Ground","Flying",600,89,145,90,105,80,91,0.346,0.757,0.347,0.091,"Weak"
"Kyurem",646,"Dragon","Ice",660,125,130,90,130,90,95,0.488,0.676,0.347,0.115,"Weak"
"Kyurem White Kyurem",646,"Dragon","Ice",700,125,120,90,170,100,95,0.488,0.622,0.347,0.106,"Weak"
"Kyurem Black Kyurem",646,"Dragon","Ice",700,125,170,100,120,90,95,0.488,0.892,0.388,0.169,"Normal"
"Keldeo Ordinary Form",647,"Water","Fighting",580,91,72,90,129,90,108,0.354,0.362,0.347,0.045,"Weak"
"Keldeo Resolute Form",647,"Water","Fighting",580,91,72,90,129,90,108,0.354,0.362,0.347,0.045,"Weak"
"Meloetta Aria Forme",648,"Normal","Psychic",600,100,77,77,128,128,90,0.39,0.389,0.294,0.045,"Weak"
"Meloetta Pirouette Forme",648,"Normal","Fighting",600,100,128,90,77,77,128,0.39,0.665,0.347,0.09,"Weak"
"Genesect",649,"Bug","Steel",600,71,120,95,120,95,99,0.276,0.622,0.367,0.063,"Weak"
"Chespin",650,"Grass","",313,56,61,65,48,45,38,0.217,0.303,0.245,0.016,"Weak"
"Quilladin",651,"Grass","",405,61,78,95,56,58,57,0.236,0.395,0.367,0.034,"Weak"
"Chesnaught",652,"Grass","Fighting",530,88,107,122,74,75,64,0.343,0.551,0.478,0.091,"Weak"
"Fennekin",653,"Fire","",307,40,45,40,62,60,60,0.154,0.216,0.143,0.005,"Weak"
"Braixen",654,"Fire","",409,59,59,58,90,70,73,0.228,0.292,0.216,0.015,"Weak"
"Delphox",655,"Fire","Psychic",534,75,69,72,114,100,104,0.291,0.346,0.273,0.028,"Weak"
"Froakie",656,"Water","",314,41,56,40,62,44,71,0.157,0.276,0.143,0.006,"Weak"
"Frogadier",657,"Water","",405,54,63,52,83,56,97,0.209,0.314,0.192,0.013,"Weak"
"Greninja",658,"Water","Dark",530,72,95,67,103,71,122,0.28,0.486,0.253,0.035,"Weak"
"Greninja Ash-Greninja",658,"Water","Dark",640,72,145,67,153,71,132,0.28,0.757,0.253,0.054,"Weak"
"Bunnelby",659,"Normal","",237,38,36,38,32,36,57,0.146,0.168,0.135,0.004,"Weak"
"Diggersby",660,"Normal","Ground",423,85,56,77,50,77,78,0.331,0.276,0.294,0.027,"Weak"
"Fletchling",661,"Normal","Flying",278,45,50,43,40,38,62,0.173,0.243,0.155,0.007,"Weak"
"Fletchinder",662,"Fire","Flying",382,62,73,55,56,52,84,0.24,0.368,0.204,0.018,"Weak"
"Talonflame",663,"Fire","Flying",499,78,81,71,74,69,126,0.303,0.411,0.269,0.034,"Weak"
"Scatterbug",664,"Bug","",200,38,35,40,27,25,35,0.146,0.162,0.143,0.004,"Weak"
"Spewpa",665,"Bug","",213,45,22,60,27,30,29,0.173,0.092,0.224,0.004,"Weak"
"Vivillon",666,"Bug","Flying",411,80,52,50,90,50,89,0.311,0.254,0.184,0.015,"Weak"
"Litleo",667,"Fire","Normal",369,62,50,58,73,54,72,0.24,0.243,0.216,0.013,"Weak"
"Pyroar",668,"Fire","Normal",507,86,68,72,109,66,106,0.335,0.341,0.273,0.031,"Weak"
"Flabébé",669,"Fairy","",303,44,38,39,61,79,42,0.169,0.178,0.139,0.004,"Weak"
"Floette",670,"Fairy","",371,54,45,47,75,98,52,0.209,0.216,0.171,0.008,"Weak"
"Florges",671,"Fairy","",552,78,65,68,112,154,75,0.303,0.324,0.257,0.025,"Weak"
"Skiddo",672,"Grass","",350,66,65,48,62,57,52,0.256,0.324,0.176,0.015,"Weak"
"Gogoat",673,"Grass","",531,123,100,62,97,81,68,0.48,0.514,0.233,0.058,"Weak"
"Pancham",674,"Fighting","",348,67,82,62,46,48,43,0.26,0.416,0.233,0.025,"Weak"
"Pangoro",675,"Fighting","Dark",495,95,124,78,69,71,58,0.37,0.643,0.298,0.071,"Weak"
"Furfrou",676,"Normal","",472,75,80,60,65,90,102,0.291,0.405,0.224,0.027,"Weak"
"Espurr",677,"Psychic","",355,62,48,54,63,60,68,0.24,0.232,0.2,0.011,"Weak"
"Meowstic Male",678,"Psychic","",466,74,48,76,83,81,104,0.287,0.232,0.29,0.02,"Weak"
"Meowstic Female",678,"Psychic","",466,74,48,76,83,81,104,0.287,0.232,0.29,0.02,"Weak"
"Honedge",679,"Steel","Ghost",325,45,80,100,35,37,28,0.173,0.405,0.388,0.027,"Weak"
"Doublade",680,"Steel","Ghost",448,59,110,150,45,49,35,0.228,0.568,0.592,0.077,"Weak"
"Aegislash Shield Forme",681,"Steel","Ghost",500,60,50,140,50,140,60,0.232,0.243,0.551,0.031,"Weak"
"Aegislash Blade Forme",681,"Steel","Ghost",500,60,140,50,140,50,60,0.232,0.73,0.184,0.031,"Weak"
"Spritzee",682,"Fairy","",341,78,52,60,63,65,23,0.303,0.254,0.224,0.017,"Weak"
"Aromatisse",683,"Fairy","",462,101,72,72,99,89,29,0.394,0.362,0.273,0.039,"Weak"
"Swirlix",684,"Fairy","",341,62,48,66,59,57,49,0.24,0.232,0.249,0.014,"Weak"
"Slurpuff",685,"Fairy","",480,82,80,86,85,75,72,0.319,0.405,0.331,0.043,"Weak"
"Inkay",686,"Dark","Psychic",288,53,54,53,37,46,45,0.205,0.265,0.196,0.011,"Weak"
"Malamar",687,"Dark","Psychic",482,86,92,88,68,75,73,0.335,0.47,0.339,0.054,"Weak"
"Binacle",688,"Rock","Water",306,42,52,67,39,56,50,0.161,0.254,0.253,0.011,"Weak"
"Barbaracle",689,"Rock","Water",500,72,105,115,54,86,68,0.28,0.541,0.449,0.068,"Weak"
"Skrelp",690,"Poison","Water",320,50,60,60,60,60,30,0.193,0.297,0.224,0.013,"Weak"
"Dragalge",691,"Poison","Dragon",494,65,75,90,97,123,44,0.252,0.378,0.347,0.033,"Weak"
"Clauncher",692,"Water","",330,50,53,62,58,63,44,0.193,0.259,0.233,0.012,"Weak"
"Clawitzer",693,"Water","",500,71,73,88,120,89,59,0.276,0.368,0.339,0.035,"Weak"
"Helioptile",694,"Electric","Normal",289,44,38,33,61,43,70,0.169,0.178,0.114,0.004,"Weak"
"Heliolisk",695,"Electric","Normal",481,62,55,52,109,94,109,0.24,0.27,0.192,0.013,"Weak"
"Tyrunt",696,"Rock","Dragon",362,58,89,77,45,45,48,0.224,0.454,0.294,0.03,"Weak"
"Tyrantrum",697,"Rock","Dragon",521,82,121,119,69,59,71,0.319,0.627,0.465,0.093,"Weak"
"Amaura",698,"Rock","Ice",362,77,59,50,67,63,46,0.299,0.292,0.184,0.016,"Weak"
"Aurorus",699,"Rock","Ice",521,123,77,72,99,92,58,0.48,0.389,0.273,0.051,"Weak"
"Sylveon",700,"Fairy","",525,95,65,65,110,130,60,0.37,0.324,0.245,0.03,"Weak"
"Hawlucha",701,"Fighting","Flying",500,78,92,75,74,63,118,0.303,0.47,0.286,0.041,"Weak"
"Dedenne",702,"Electric","Fairy",431,67,58,57,81,67,101,0.26,0.286,0.212,0.016,"Weak"
"Carbink",703,"Rock","Fairy",500,50,50,150,50,150,50,0.193,0.243,0.592,0.028,"Weak"
"Goomy",704,"Dragon","",300,45,50,35,55,75,40,0.173,0.243,0.122,0.005,"Weak"
"Sliggoo",705,"Dragon","",452,68,75,53,83,113,60,0.264,0.378,0.196,0.02,"Weak"
"Sliggoo Hisuian Sliggoo",705,"Steel","Dragon",452,58,75,83,83,113,40,0.224,0.378,0.318,0.027,"Weak"
"Goodra",706,"Dragon","",600,90,100,70,110,150,80,0.35,0.514,0.265,0.048,"Weak"
"Goodra Hisuian Goodra",706,"Steel","Dragon",600,80,100,100,110,150,60,0.311,0.514,0.388,0.062,"Weak"
"Klefki",707,"Steel","Fairy",470,57,80,91,80,87,75,0.22,0.405,0.351,0.031,"Weak"
"Phantump",708,"Ghost","Grass",309,43,70,48,50,60,38,0.165,0.351,0.176,0.01,"Weak"
"Trevenant",709,"Ghost","Grass",474,85,110,76,65,82,56,0.331,0.568,0.29,0.055,"Weak"
"Pumpkaboo Average Size",710,"Ghost","Grass",335,49,66,70,44,55,51,0.189,0.33,0.265,0.017,"Weak"
"Pumpkaboo Small Size",710,"Ghost","Grass",335,44,66,70,44,55,56,0.169,0.33,0.265,0.015,"Weak"
"Pumpkaboo Large Size",710,"Ghost","Grass",335,54,66,70,44,55,46,0.209,0.33,0.265,0.018,"Weak"
"Pumpkaboo Super Size",710,"Ghost","Grass",335,59,66,70,44,55,41,0.228,0.33,0.265,0.02,"Weak"
"Gourgeist Average Size",711,"Ghost","Grass",494,65,90,122,58,75,84,0.252,0.459,0.478,0.055,"Weak"
"Gourgeist Small Size",711,"Ghost","Grass",494,55,85,122,58,75,99,0.213,0.432,0.478,0.044,"Weak"
"Gourgeist Large Size",711,"Ghost","Grass",494,75,95,122,58,75,69,0.291,0.486,0.478,0.068,"Weak"
"Gourgeist Super Size",711,"Ghost","Grass",494,85,100,122,58,75,54,0.331,0.514,0.478,0.082,"Weak"
"Bergmite",712,"Ice","",304,55,69,85,32,35,28,0.213,0.346,0.327,0.024,"Weak"
"Avalugg",713,"Ice","",514,95,117,184,44,46,28,0.37,0.605,0.731,0.164,"Normal"
"Avalugg Hisuian Avalugg",713,"Ice","Rock",514,95,127,184,34,36,38,0.37,0.659,0.731,0.178,"Normal"
"Noibat",714,"Flying","Dragon",245,40,30,35,45,40,55,0.154,0.135,0.122,0.003,"Weak"
"Noivern",715,"Flying","Dragon",535,85,70,80,97,80,123,0.331,0.351,0.306,0.036,"Weak"
"Xerneas",716,"Fairy","",680,126,131,95,131,98,99,0.492,0.681,0.367,0.123,"Weak"
"Yveltal",717,"Dark","Flying",680,126,131,95,131,98,99,0.492,0.681,0.367,0.123,"Weak"
"Zygarde 50% Forme",718,"Dragon","Ground",600,108,100,121,81,95,95,0.421,0.514,0.473,0.103,"Weak"
"Zygarde 10% Forme",718,"Dragon","Ground",486,54,100,71,61,85,115,0.209,0.514,0.269,0.029,"Weak"
"Zygarde Complete Forme",718,"Dragon","Ground",708,216,100,121,91,95,85,0.846,0.514,0.473,0.206,"Strong"
"Diancie",719,"Rock","Fairy",600,50,100,150,100,150,50,0.193,0.514,0.592,0.059,"Weak"
"Diancie Mega Diancie",719,"Rock","Fairy",700,50,160,110,160,110,110,0.193,0.838,0.429,0.07,"Weak"
"Hoopa Hoopa Confined",720,"Psychic","Ghost",600,80,110,60,150,130,70,0.311,0.568,0.224,0.04,"Weak"
"Hoopa Hoopa Unbound",720,"Psychic","Dark",680,80,160,60,170,130,80,0.311,0.838,0.224,0.059,"Weak"
"Volcanion",721,"Fire","Water",600,80,110,120,130,90,70,0.311,0.568,0.469,0.083,"Weak"
"Rowlet",722,"Grass","Flying",320,68,55,55,50,50,42,0.264,0.27,0.204,0.015,"Weak"
"Dartrix",723,"Grass","Flying",420,78,75,75,70,70,52,0.303,0.378,0.286,0.033,"Weak"
"Decidueye",724,"Grass","Ghost",530,78,107,75,100,100,70,0.303,0.551,0.286,0.048,"Weak"
"Decidueye Hisuian Decidueye",724,"Grass","Fighting",530,88,112,80,95,95,60,0.343,0.578,0.306,0.061,"Weak"
"Litten",725,"Fire","",320,45,65,40,60,40,70,0.173,0.324,0.143,0.008,"Weak"
"Torracat",726,"Fire","",420,65,85,50,80,50,90,0.252,0.432,0.184,0.02,"Weak"
"Incineroar",727,"Fire","Dark",530,95,115,90,80,90,60,0.37,0.595,0.347,0.077,"Weak"
"Popplio",728,"Water","",320,50,54,54,66,56,40,0.193,0.265,0.2,0.01,"Weak"
"Brionne",729,"Water","",420,60,69,69,91,81,50,0.232,0.346,0.261,0.021,"Weak"
"Primarina",730,"Water","Fairy",530,80,74,74,126,116,60,0.311,0.373,0.282,0.033,"Weak"
"Pikipek",731,"Normal","Flying",265,35,75,30,30,30,65,0.134,0.378,0.102,0.005,"Weak"
"Trumbeak",732,"Normal","Flying",355,55,85,50,40,50,75,0.213,0.432,0.184,0.017,"Weak"
"Toucannon",733,"Normal","Flying",485,80,120,75,75,75,60,0.311,0.622,0.286,0.056,"Weak"
"Yungoos",734,"Normal","",253,48,70,30,30,30,45,0.185,0.351,0.102,0.007,"Weak"
"Gumshoos",735,"Normal","",418,88,110,60,55,60,45,0.343,0.568,0.224,0.044,"Weak"
"Grubbin",736,"Bug","",300,47,62,45,55,45,46,0.181,0.308,0.163,0.009,"Weak"
"Charjabug",737,"Bug","Electric",400,57,82,95,55,75,36,0.22,0.416,0.367,0.034,"Weak"
"Vikavolt",738,"Bug","Electric",500,77,70,90,145,75,43,0.299,0.351,0.347,0.037,"Weak"
"Crabrawler",739,"Fighting","",338,47,82,57,42,47,63,0.181,0.416,0.212,0.016,"Weak"
"Crabominable",740,"Fighting","Ice",478,97,132,77,62,67,43,0.378,0.686,0.294,0.076,"Weak"
"Oricorio Baile Style",741,"Fire","Flying",476,75,70,70,98,70,93,0.291,0.351,0.265,0.027,"Weak"
"Oricorio Pom-Pom Style",741,"Electric","Flying",476,75,70,70,98,70,93,0.291,0.351,0.265,0.027,"Weak"
"Oricorio Pa'u Style",741,"Psychic","Flying",476,75,70,70,98,70,93,0.291,0.351,0.265,0.027,"Weak"
"Oricorio Sensu Style",741,"Ghost","Flying",476,75,70,70,98,70,93,0.291,0.351,0.265,0.027,"Weak"
"Cutiefly",742,"Bug","Fairy",304,40,45,40,55,40,84,0.154,0.216,0.143,0.005,"Weak"
"Ribombee",743,"Bug","Fairy",464,60,55,60,95,70,124,0.232,0.27,0.224,0.014,"Weak"
"Rockruff",744,"Rock","",280,45,65,40,30,40,60,0.173,0.324,0.143,0.008,"Weak"
"Rockruff Own Tempo Rockruff",744,"Rock","",280,45,65,40,30,40,60,0.173,0.324,0.143,0.008,"Weak"
"Lycanroc Midday Form",745,"Rock","",487,75,115,65,55,65,112,0.291,0.595,0.245,0.043,"Weak"
"Lycanroc Midnight Form",745,"Rock","",487,85,115,75,55,75,82,0.331,0.595,0.286,0.057,"Weak"
"Lycanroc Dusk Form",745,"Rock","",487,75,117,65,55,65,110,0.291,0.605,0.245,0.043,"Weak"
"Wishiwashi Solo Form",746,"Water","",175,45,20,20,25,25,40,0.173,0.081,0.061,0.001,"Weak"
"Wishiwashi School Form",746,"Water","",620,45,140,130,140,135,30,0.173,0.73,0.51,0.065,"Weak"
"Mareanie",747,"Poison","Water",305,50,53,62,43,52,45,0.193,0.259,0.233,0.012,"Weak"
"Toxapex",748,"Poison","Water",495,50,63,152,53,142,35,0.193,0.314,0.6,0.037,"Weak"
"Mudbray",749,"Ground","",385,70,100,70,45,55,45,0.272,0.514,0.265,0.037,"Weak"
"Mudsdale",750,"Ground","",500,100,125,100,55,85,35,0.39,0.649,0.388,0.098,"Weak"
"Dewpider",751,"Water","Bug",269,38,40,52,40,72,27,0.146,0.189,0.192,0.005,"Weak"
"Araquanid",752,"Water","Bug",454,68,70,92,50,132,42,0.264,0.351,0.355,0.033,"Weak"
"Fomantis",753,"Grass","",250,40,55,35,50,35,35,0.154,0.27,0.122,0.005,"Weak"
"Lurantis",754,"Grass","",480,70,105,90,80,90,45,0.272,0.541,0.347,0.051,"Weak"
"Morelull",755,"Grass","Fairy",285,40,35,55,65,75,15,0.154,0.162,0.204,0.005,"Weak"
"Shiinotic",756,"Grass","Fairy",405,60,45,80,90,100,30,0.232,0.216,0.306,0.016,"Weak"
"Salandit",757,"Poison","Fire",320,48,44,40,71,40,77,0.185,0.211,0.143,0.006,"Weak"
"Salazzle",758,"Poison","Fire",480,68,64,60,111,60,117,0.264,0.319,0.224,0.019,"Weak"
"Stufful",759,"Normal","Fighting",340,70,75,50,45,50,50,0.272,0.378,0.184,0.019,"Weak"
"Bewear",760,"Normal","Fighting",500,120,125,80,55,60,60,0.469,0.649,0.306,0.093,"Weak"
"Bounsweet",761,"Grass","",210,42,30,38,30,38,32,0.161,0.135,0.135,0.003,"Weak"
"Steenee",762,"Grass","",290,52,40,48,40,48,62,0.201,0.189,0.176,0.007,"Weak"
"Tsareena",763,"Grass","",510,72,120,98,50,98,72,0.28,0.622,0.38,0.066,"Weak"
"Comfey",764,"Fairy","",485,51,52,90,82,110,100,0.197,0.254,0.347,0.018,"Weak"
"Oranguru",765,"Normal","Psychic",490,90,60,80,90,110,60,0.35,0.297,0.306,0.032,"Weak"
"Passimian",766,"Fighting","",490,100,120,90,40,60,80,0.39,0.622,0.347,0.084,"Weak"
"Wimpod",767,"Bug","Water",230,25,35,40,20,30,80,0.094,0.162,0.143,0.002,"Weak"
"Golisopod",768,"Bug","Water",530,75,125,140,60,90,40,0.291,0.649,0.551,0.104,"Weak"
"Sandygast",769,"Ghost","Ground",320,55,55,80,70,45,15,0.213,0.27,0.306,0.018,"Weak"
"Palossand",770,"Ghost","Ground",480,85,75,110,100,75,35,0.331,0.378,0.429,0.054,"Weak"
"Pyukumuku",771,"Water","",410,55,60,130,30,130,5,0.213,0.297,0.51,0.032,"Weak"
"Type: Null",772,"Normal","",534,95,95,95,95,95,59,0.37,0.486,0.367,0.066,"Weak"
"Silvally",773,"Normal","",570,95,95,95,95,95,95,0.37,0.486,0.367,0.066,"Weak"
"Minior Meteor Form",774,"Rock","Flying",440,60,60,100,60,100,60,0.232,0.297,0.388,0.027,"Weak"
"Minior Core Form",774,"Rock","Flying",500,60,100,60,100,60,120,0.232,0.514,0.224,0.027,"Weak"
"Komala",775,"Normal","",480,65,115,65,75,95,65,0.252,0.595,0.245,0.037,"Weak"
"Turtonator",776,"Fire","Dragon",485,60,78,135,91,85,36,0.232,0.395,0.531,0.049,"Weak"
"Togedemaru",777,"Electric","Steel",435,65,98,63,40,73,96,0.252,0.503,0.237,0.03,"Weak"
"Mimikyu",778,"Ghost","Fairy",476,55,90,80,50,105,96,0.213,0.459,0.306,0.03,"Weak"
"Bruxish",779,"Water","Psychic",475,68,105,70,70,70,92,0.264,0.541,0.265,0.038,"Weak"
"Drampa",780,"Normal","Dragon",485,78,60,85,135,91,36,0.303,0.297,0.327,0.03,"Weak"
"Dhelmise",781,"Ghost","Grass",517,70,131,100,86,90,40,0.272,0.681,0.388,0.072,"Weak"
"Jangmo-o",782,"Dragon","",300,45,55,65,45,45,45,0.173,0.27,0.245,0.012,"Weak"
"Hakamo-o",783,"Dragon","Fighting",420,55,75,90,65,70,65,0.213,0.378,0.347,0.028,"Weak"
"Kommo-o",784,"Dragon","Fighting",600,75,110,125,100,105,85,0.291,0.568,0.49,0.081,"Weak"
"Tapu Koko",785,"Electric","Fairy",570,70,115,85,95,75,130,0.272,0.595,0.327,0.053,"Weak"
"Tapu Lele",786,"Psychic","Fairy",570,70,85,75,130,115,95,0.272,0.432,0.286,0.034,"Weak"
"Tapu Bulu",787,"Grass","Fairy",570,70,130,115,85,95,75,0.272,0.676,0.449,0.083,"Weak"
"Tapu Fini",788,"Water","Fairy",570,70,75,115,95,130,85,0.272,0.378,0.449,0.046,"Weak"
"Cosmog",789,"Psychic","",200,43,29,31,29,31,37,0.165,0.13,0.106,0.002,"Weak"
"Cosmoem",790,"Psychic","",400,43,29,131,29,131,37,0.165,0.13,0.514,0.011,"Weak"
"Solgaleo",791,"Psychic","Steel",680,137,137,107,113,89,97,0.535,0.714,0.416,0.159,"Normal"
"Lunala",792,"Psychic","Ghost",680,137,113,89,137,107,97,0.535,0.584,0.343,0.107,"Weak"
"Nihilego",793,"Rock","Poison",570,109,53,47,127,131,103,0.425,0.259,0.171,0.019,"Weak"
"Buzzwole",794,"Bug","Fighting",570,107,139,139,53,53,79,0.417,0.724,0.547,0.165,"Normal"
"Pheromosa",795,"Bug","Fighting",570,71,137,37,137,37,151,0.276,0.714,0.131,0.026,"Weak"
"Xurkitree",796,"Electric","",570,83,89,71,173,71,83,0.323,0.454,0.269,0.04,"Weak"
"Celesteela",797,"Steel","Flying",570,97,101,103,107,101,61,0.378,0.519,0.4,0.079,"Weak"
"Kartana",798,"Grass","Steel",570,59,181,131,59,31,109,0.228,0.951,0.514,0.112,"Weak"
"Guzzlord",799,"Dark","Dragon",570,223,101,53,97,53,43,0.874,0.519,0.196,0.089,"Weak"
"Necrozma",800,"Psychic","",600,97,107,101,127,89,79,0.378,0.551,0.392,0.082,"Weak"
"Necrozma Dusk Mane Necrozma",800,"Psychic","Steel",680,97,157,127,113,109,77,0.378,0.822,0.498,0.155,"Normal"
"Necrozma Dawn Wings Necrozma",800,"Psychic","Ghost",680,97,113,109,157,127,77,0.378,0.584,0.424,0.094,"Weak"
"Necrozma Ultra Necrozma",800,"Psychic","Dragon",754,97,167,97,167,97,129,0.378,0.876,0.376,0.125,"Weak"
"Magearna",801,"Steel","Fairy",600,80,95,115,130,115,65,0.311,0.486,0.449,0.068,"Weak"
"Marshadow",802,"Fighting","Ghost",600,90,125,80,90,90,125,0.35,0.649,0.306,0.07,"Weak"
"Poipole",803,"Poison","",420,67,73,67,73,67,73,0.26,0.368,0.253,0.024,"Weak"
"Naganadel",804,"Poison","Dragon",540,73,73,73,127,73,121,0.283,0.368,0.278,0.029,"Weak"
"Stakataka",805,"Rock","Steel",570,61,131,211,53,101,13,0.236,0.681,0.841,0.135,"Weak"
"Blacephalon",806,"Fire","Ghost",570,53,127,53,151,79,107,0.205,0.659,0.196,0.027,"Weak"
"Zeraora",807,"Electric","",600,88,112,75,102,80,143,0.343,0.578,0.286,0.057,"Weak"
"Meltan",808,"Steel","",300,46,65,65,55,35,34,0.177,0.324,0.245,0.014,"Weak"
"Melmetal",809,"Steel","",600,135,143,143,80,65,34,0.528,0.746,0.563,0.222,"Strong"
"Grookey",810,"Grass","",310,50,65,50,40,40,65,0.193,0.324,0.184,0.012,"Weak"
"Thwackey",811,"Grass","",420,70,85,70,55,60,80,0.272,0.432,0.265,0.031,"Weak"
"Rillaboom",812,"Grass","",530,100,125,90,60,70,85,0.39,0.649,0.347,0.088,"Weak"
"Scorbunny",813,"Fire","",310,50,71,40,40,40,69,0.193,0.357,0.143,0.01,"Weak"
"Raboot",814,"Fire","",420,65,86,60,55,60,94,0.252,0.438,0.224,0.025,"Weak"
"Cinderace",815,"Fire","",530,80,116,75,65,75,119,0.311,0.6,0.286,0.054,"Weak"
"Sobble",816,"Water","",310,50,40,40,70,40,70,0.193,0.189,0.143,0.005,"Weak"
"Drizzile",817,"Water","",420,65,60,55,95,55,90,0.252,0.297,0.204,0.015,"Weak"
"Inteleon",818,"Water","",530,70,85,65,125,65,120,0.272,0.432,0.245,0.029,"Weak"
"Skwovet",819,"Normal","",275,70,55,55,35,35,25,0.272,0.27,0.204,0.015,"Weak"
"Greedent",820,"Normal","",460,120,95,95,55,75,20,0.469,0.486,0.367,0.084,"Weak"
"Rookidee",821,"Flying","",245,38,47,35,33,35,57,0.146,0.227,0.122,0.004,"Weak"
"Corvisquire",822,"Flying","",365,68,67,55,43,55,77,0.264,0.335,0.204,0.018,"Weak"
"Corviknight",823,"Flying","Steel",495,98,87,105,53,85,67,0.382,0.443,0.408,0.069,"Weak"
"Blipbug",824,"Bug","",180,25,20,20,25,45,45,0.094,0.081,0.061,0.001,"Weak"
"Dottler",825,"Bug","Psychic",335,50,35,80,50,90,30,0.193,0.162,0.306,0.01,"Weak"
"Orbeetle",826,"Bug","Psychic",505,60,45,110,80,120,90,0.232,0.216,0.429,0.022,"Weak"
"Nickit",827,"Dark","",245,40,28,28,47,52,50,0.154,0.124,0.094,0.002,"Weak"
"Thievul",828,"Dark","",455,70,58,58,87,92,90,0.272,0.286,0.216,0.017,"Weak"
"Gossifleur",829,"Grass","",250,40,40,60,40,60,10,0.154,0.189,0.224,0.007,"Weak"
"Eldegoss",830,"Grass","",460,60,50,90,80,120,60,0.232,0.243,0.347,0.02,"Weak"
"Wooloo",831,"Normal","",270,42,40,55,40,45,48,0.161,0.189,0.204,0.006,"Weak"
"Dubwool",832,"Normal","",490,72,80,100,60,90,88,0.28,0.405,0.388,0.044,"Weak"
"Chewtle",833,"Water","",284,50,64,50,38,38,44,0.193,0.319,0.184,0.012,"Weak"
"Drednaw",834,"Water","Rock",485,90,115,90,48,68,74,0.35,0.595,0.347,0.072,"Weak"
"Yamper",835,"Electric","",270,59,45,50,40,50,26,0.228,0.216,0.184,0.009,"Weak"
"Boltund",836,"Electric","",490,69,90,60,90,60,121,0.268,0.459,0.224,0.028,"Weak"
"Rolycoly",837,"Rock","",240,30,40,50,40,50,30,0.114,0.189,0.184,0.004,"Weak"
"Carkol",838,"Rock","Fire",410,80,60,90,60,70,50,0.311,0.297,0.347,0.032,"Weak"
"Coalossal",839,"Rock","Fire",510,110,80,120,80,90,30,0.429,0.405,0.469,0.082,"Weak"
"Applin",840,"Grass","Dragon",260,40,40,80,40,40,20,0.154,0.189,0.306,0.009,"Weak"
"Flapple",841,"Grass","Dragon",485,70,110,80,95,60,70,0.272,0.568,0.306,0.047,"Weak"
"Appletun",842,"Grass","Dragon",485,110,85,80,100,80,30,0.429,0.432,0.306,0.057,"Weak"
"Silicobra",843,"Ground","",315,52,57,75,35,50,46,0.201,0.281,0.286,0.016,"Weak"
"Sandaconda",844,"Ground","",510,72,107,125,65,70,71,0.28,0.551,0.49,0.076,"Weak"
"Cramorant",845,"Flying","Water",475,70,85,55,85,95,85,0.272,0.432,0.204,0.024,"Weak"
"Arrokuda",846,"Water","",280,41,63,40,40,30,66,0.157,0.314,0.143,0.007,"Weak"
"Barraskewda",847,"Water","",490,61,123,60,60,50,136,0.236,0.638,0.224,0.034,"Weak"
"Toxel",848,"Electric","Poison",242,40,38,35,54,35,40,0.154,0.178,0.122,0.004,"Weak"
"Toxtricity Amped Form",849,"Electric","Poison",502,75,98,70,114,70,75,0.291,0.503,0.265,0.039,"Weak"
"Toxtricity Low Key Form",849,"Electric","Poison",502,75,98,70,114,70,75,0.291,0.503,0.265,0.039,"Weak"
"Sizzlipede",850,"Fire","Bug",305,50,65,45,50,50,45,0.193,0.324,0.163,0.01,"Weak"
"Centiskorch",851,"Fire","Bug",525,100,115,65,90,90,65,0.39,0.595,0.245,0.057,"Weak"
"Clobbopus",852,"Fighting","",310,50,68,60,50,50,32,0.193,0.341,0.224,0.015,"Weak"
"Grapploct",853,"Fighting","",480,80,118,90,70,80,42,0.311,0.611,0.347,0.066,"Weak"
"Sinistea",854,"Ghost","",308,40,45,45,74,54,50,0.154,0.216,0.163,0.006,"Weak"
"Polteageist",855,"Ghost","",508,60,65,65,134,114,70,0.232,0.324,0.245,0.019,"Weak"
"Hatenna",856,"Psychic","",265,42,30,45,56,53,39,0.161,0.135,0.163,0.004,"Weak"
"Hattrem",857,"Psychic","",370,57,40,65,86,73,49,0.22,0.189,0.245,0.01,"Weak"
"Hatterene",858,"Psychic","Fairy",510,57,90,95,136,103,29,0.22,0.459,0.367,0.037,"Weak"
"Impidimp",859,"Dark","Fairy",265,45,45,30,55,40,50,0.173,0.216,0.102,0.004,"Weak"
"Morgrem",860,"Dark","Fairy",370,65,60,45,75,55,70,0.252,0.297,0.163,0.012,"Weak"
"Grimmsnarl",861,"Dark","Fairy",510,95,120,65,95,75,60,0.37,0.622,0.245,0.057,"Weak"
"Obstagoon",862,"Dark","Normal",520,93,90,101,60,81,95,0.362,0.459,0.392,0.065,"Weak"
"Perrserker",863,"Steel","",440,70,110,100,50,60,50,0.272,0.568,0.388,0.06,"Weak"
"Cursola",864,"Ghost","",510,60,95,50,145,130,30,0.232,0.486,0.184,0.021,"Weak"
"Sirfetch'd",865,"Fighting","",507,62,135,95,68,82,65,0.24,0.703,0.367,0.062,"Weak"
"Mr. Rime",866,"Ice","Psychic",520,80,85,75,110,100,70,0.311,0.432,0.286,0.039,"Weak"
